序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,二資港生二,110AEM749,鄰雀愶,jy9tsbga2l,0,5,7,0,7,4,6,5,5,6
2,二資港生二,110AEM917,鸶撳躀,easu2ydpu9,4,0,5,9,5,8,8,8,8,6
3,資工碩三,110598492,掇冄鍴,d9m21sir92,0,1,5,4,0,0,7,8,5,0
4,二資陸生二,110AEM601,蕆兒姾,jdu6kwj31m,5,4,6,4,3,3,9,1,0,2
5,資工碩一,112598853,鈓籙囥,d5s3b0naa5,6,0,8,8,0,6,3,1,6,3
6,電資AI碩二,111C52516,膾烼巸,7npo3moo81g,7,0,5,5,0,9,8,1,3,6
7,電資四,109820539,鈵佛繷,vr36z3caonf,1,2,4,1,2,0,3,3,5,5
8,資工三,110590489,圢忬荎,f8jxmupnsh,3,2,7,5,7,9,5,1,5,6
9,資工三,110590750,郺鰾揶,p837s6lzqpl,8,8,6,5,9,1,9,2,3,2
10,創新AI碩一,112C71225,諣磀懕,cgopms7omo,3,8,4,8,3,6,4,4,5,3
11,創新AI碩二,111C71625,螭码焻,rmpyfzrii6,9,8,6,3,3,0,4,2,1,9
12,資工碩三,110598024,舕琴医,ld7wz8ghm7,4,5,8,0,5,5,0,2,5,8
13,創新AI碩一,112C71763,牻若敓,4p6cg6phkbg,2,2,3,5,5,9,6,9,2,4
14,互動碩二,111AC8061,肻彲猾,g9ql11uh6t,9,5,2,2,9,9,4,9,8,9
15,二資陸生二,110AEM696,脊甛糇,rxhvzznwdk,1,4,9,7,5,1,1,7,3,2
16,電資四,109820453,首饿蒣,cx8fo0lam2k,5,9,5,1,3,2,8,6,2,0
17,電資AI碩一,112C52218,汆嶒竞,krxyiysvac,9,0,2,0,1,5,7,4,6,6
18,創新AI碩一,112C71849,硋懆訳,90a3d4opqo,4,2,2,8,1,3,5,2,2,6
19,資工碩三,110598920,砩艹稝,1fi1wmnoma,0,1,7,5,2,6,5,7,5,8
20,電資資安碩一,112C53871,陭違硊,cod2aignkz,6,9,5,0,7,5,6,1,5,9
21,創新資安碩一,112C72108,牐泞醕,rcliavp28i,2,3,0,9,6,2,1,9,8,7
22,電資AI碩二,111C52988,瓸悯訥,6s5e7wl5vt,4,2,7,0,0,7,5,1,3,5
23,電資AI碩一,112C52612,露隻佴,nux9z3w8wg,0,0,9,0,1,6,8,6,4,7
24,創新資安碩一,112C72039,獤狭檠,iafe6927imk,9,3,3,1,5,2,1,9,8,2
25,電資AI碩二,111C52898,踜垲臟,67bhqwpbjhg,3,4,8,4,6,5,2,1,7,0
26,二資陸生二,110AEM218,昅殛隋,mauudtomwd,9,6,1,0,4,9,7,2,1,7
27,資工三,110590101,纹礐瀂,u4q67zbnb1,7,7,2,5,6,4,0,2,1,0
28,電資資安碩一,112C53345,牭韆鼙,8lapxthwd8h,7,2,0,1,0,3,3,2,1,5
29,電資資安碩一,112C53757,敖佨恤,shar3noyze,0,5,5,9,0,8,4,1,7,1
30,電資資安碩一,112C53946,柎贔燉,0qdmp0b8nv,7,9,5,3,3,2,8,5,2,8
31,互動碩二,111AC8228,拮戟悕,x5hr5dxzay,5,4,9,3,3,4,6,4,6,6
32,二資陸生二,110AEM270,蝣胠愫,b7s7lsmh66,3,1,4,0,6,4,7,0,0,3
33,資工碩二,111598228,贅諌刊,4ykbq68yg1,1,9,3,6,7,5,4,7,4,0
34,資工四,108590466,潩虘宦,ow4zco2ub7,4,8,4,7,8,9,1,9,5,3
35,資工四,108590227,淳譭霪,aipy00hjnl,4,3,0,8,7,8,1,9,5,1
36,資工碩三,110598847,翛峮矷,czxayv5l8k,0,1,4,9,4,3,5,6,3,4
37,電資AI碩二,111C52906,戞炨祅,bxmm5e160k,9,9,1,7,6,7,6,4,8,4
38,資工碩二,111598609,鉷鹎濑,fcs2t983kk,7,1,9,5,6,6,4,8,2,5
39,二資港生二,110AEM533,筨酢詘,5chd0gyj6z,6,3,8,2,1,7,7,0,0,5
40,電資三,110820780,鷇鴖感,01o3lm7nwu,5,1,7,1,2,3,5,6,5,1
41,電資三,110820351,擂鬳菩,6a47evxrht,0,7,2,5,1,6,4,3,6,7
42,二資港生二,110AEM955,咭銑璧,qma7rkxn5p,3,8,4,8,4,8,6,0,5,9
43,資工三,110590897,頇磬蛴,ribdribkcz,0,4,0,7,1,1,4,8,7,6
44,電資四,109820409,鼘婊霹,09sent60ak,0,7,7,7,3,3,4,4,4,5
45,資工碩三,110598242,哛绎攓,7ktukxkkn1,6,6,8,3,8,0,6,5,1,2
